0, 1, 3, 0
0, 1, 13, 0
0, 2, 3, 0
0, 3, 2, 0
4, 1, 0, 1
5, 2, 0, 1
16, 1, 0, 1
16, 14, 0, 1
8, 3, 0, 1
19, 13, 0, 1
20, 2, 0, 1
21, 13, 0, 1
21, 14, 0, 1
15, 13, 0, 1
5, 1, 0, 2
6, 3, 0, 2
17, 14, 0, 2
9, 14, 0, 2
19, 2, 0, 2
20, 2, 0, 2
10, 13, 0, 2
11, 1, 0, 2
11, 14, 0, 2
12, 1, 0, 2
15, 1, 0, 2
4, 2, 0, 3
4, 3, 0, 3
5, 3, 0, 3
6, 3, 0, 3
19, 14, 0, 3
20, 2, 0, 3
12, 3, 0, 3
21, 2, 0, 3
21, 13, 0, 3
22, 14, 0, 3
18, 13, 0, 3
6, 1, 0, 13
7, 14, 0, 13
8, 14, 0, 13
9, 2, 0, 13
9, 3, 0, 13
20, 1, 0, 13
20, 2, 0, 13
20, 3, 0, 13
10, 1, 0, 13
12, 13, 0, 13
21, 13, 0, 13
22, 13, 0, 13
4, 14, 0, 14
5, 1, 0, 14
5, 2, 0, 14
16, 1, 0, 14
19, 13, 0, 14
10, 13, 0, 14
10, 14, 0, 14
21, 3, 0, 14
22, 1, 0, 14
22, 14, 0, 14
15, 2, 0, 14
18, 3, 0, 14
16, 6, 4, 4
17, 19, 4, 4
5, 7, 4, 5
4, 21, 4, 6
6, 18, 4, 6
17, 17, 4, 6
8, 5, 4, 6
12, 16, 4, 6
18, 21, 4, 6
7, 19, 4, 7
19, 11, 4, 7
17, 6, 4, 8
20, 10, 4, 8
12, 20, 4, 8
21, 7, 4, 8
17, 20, 4, 9
9, 20, 4, 9
7, 22, 4, 19
12, 7, 4, 19
22, 15, 4, 19
9, 6, 4, 20
6, 6, 4, 10
8, 10, 4, 10
6, 9, 4, 11
16, 17, 4, 11
21, 11, 4, 11
22, 12, 4, 11
4, 15, 4, 12
16, 18, 4, 12
10, 22, 4, 12
8, 11, 4, 21
9, 20, 4, 21
9, 10, 4, 21
10, 15, 4, 21
11, 17, 4, 21
15, 7, 4, 15
10, 9, 4, 18
12, 21, 4, 18
15, 16, 4, 18
18, 15, 4, 18
11, 20, 5, 5
11, 22, 5, 5
22, 9, 5, 5
18, 16, 5, 5
10, 20, 5, 6
7, 21, 5, 16
9, 21, 5, 16
10, 20, 5, 16
22, 8, 5, 16
20, 11, 5, 17
11, 20, 5, 17
12, 9, 5, 7
12, 22, 5, 7
17, 10, 5, 8
19, 11, 5, 8
11, 8, 5, 8
